  10,753,502 attempts |   143 sec | 75,199 attempts / sec |  40 solutions found | searching for (0,2,1)
  10,824,882 attempts |   144 sec | 75,172 attempts / sec |  40 solutions found | searching for (0,2,2)
  10,896,645 attempts |   145 sec | 75,149 attempts / sec |  40 solutions found | searching for (0,2,3)
  10,969,384 attempts |   146 sec | 75,132 attempts / sec |  40 solutions found | searching for (0,2,3)
  11,043,313 attempts |   147 sec | 75,124 attempts / sec |  42 solutions found | searching for (0,2,3)
  11,117,005 attempts |   148 sec | 75,114 attempts / sec |  42 solutions found | searching for (0,2,3)
  11,190,262 attempts |   149 sec | 75,102 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,262,609 attempts |   150 sec | 75,083 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,334,882 attempts |   151 sec | 75,065 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,407,177 attempts |   152 sec | 75,047 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,479,782 attempts |   153 sec | 75,031 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,551,820 attempts |   154 sec | 75,011 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,625,187 attempts |   155 sec | 75,001 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,698,236 attempts |   156 sec | 74,988 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,771,292 attempts |   157 sec | 74,976 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,843,569 attempts |   158 sec | 74,959 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,913,996 attempts |   159 sec | 74,930 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,986,573 attempts |   160 sec | 74,915 attempts / sec |  44 solutions found | searching for (0,2,3)
  12,058,276 attempts |   161 sec | 74,895 attempts / sec |  44 solutions found | searching for (0,2,3)
  12,130,458 attempts |   162 sec | 74,879 attempts / sec |  44 solutions found | searching for (0,2,3)
  12,202,595 attempts |   163 sec | 74,862 attempts / sec |  46 solutions found | searching for (0,2,3)
  12,275,242 attempts |   164 sec | 74,848 attempts / sec |  46 solutions found | searching for (0,2,3)
  12,346,395 attempts |   165 sec | 74,826 attempts / sec |  46 solutions found | searching for (0,2,3)
  12,419,545 attempts |   166 sec | 74,816 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,492,736 attempts |   167 sec | 74,806 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,565,358 attempts |   168 sec | 74,793 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,639,110 attempts |   169 sec | 74,787 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,713,010 attempts |   170 sec | 74,782 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,786,435 attempts |   171 sec | 74,774 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,860,131 attempts |   172 sec | 74,768 attempts / sec |  48 solutions found | searching for (0,3,0)
  12,934,512 attempts |   173 sec | 74,765 attempts / sec |  48 solutions found | searching for (0,3,0)
  13,009,563 attempts |   174 sec | 74,767 attempts / sec |  48 solutions found | searching for (0,3,0)
  13,084,575 attempts |   175 sec | 74,768 attempts / sec |  48 solutions found | searching for (0,3,0)
  13,157,968 attempts |   176 sec | 74,761 attempts / sec |  48 solutions found | searching for (0,3,0)
  13,231,864 attempts |   177 sec | 74,756 attempts / sec |  48 solutions found | searching for (0,3,1)
  13,306,394 attempts |   178 sec | 74,754 attempts / sec |  48 solutions found | searching for (0,3,1)
  13,381,004 attempts |   179 sec | 74,754 attempts / sec |  48 solutions found | searching for (0,3,1)
  13,456,645 attempts |   180 sec | 74,758 attempts / sec |  48 solutions found | searching for (0,3,1)
  13,532,728 attempts |   181 sec | 74,766 attempts / sec |  48 solutions found | searching for (0,3,1)
  13,608,336 attempts |   182 sec | 74,770 attempts / sec |  48 solutions found | searching for (0,3,1)
  13,684,474 attempts |   183 sec | 74,778 attempts / sec |  48 solutions found | searching for (0,3,1)
  13,759,868 attempts |   184 sec | 74,781 attempts / sec |  50 solutions found | searching for (0,3,1)
  13,835,414 attempts |   185 sec | 74,785 attempts / sec |  50 solutions found | searching for (0,3,1)
  13,911,482 attempts |   186 sec | 74,792 attempts / sec |  50 solutions found | searching for (0,3,1)
  13,986,136 attempts |   187 sec | 74,792 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,060,549 attempts |   188 sec | 74,789 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,135,618 attempts |   189 sec | 74,791 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,211,050 attempts |   190 sec | 74,794 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,286,163 attempts |   191 sec | 74,796 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,361,603 attempts |   192 sec | 74,799 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,436,708 attempts |   193 sec | 74,801 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,512,269 attempts |   194 sec | 74,805 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,588,733 attempts |   195 sec | 74,813 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,666,700 attempts |   196 sec | 74,829 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,743,529 attempts |   197 sec | 74,840 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,820,648 attempts |   198 sec | 74,851 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,897,247 attempts |   199 sec | 74,860 attempts / sec |  54 solutions found | searching for (0,3,1)
  14,975,518 attempts |   200 sec | 74,877 attempts / sec |  54 solutions found | searching for (0,3,1)
  15,053,419 attempts |   201 sec | 74,892 attempts / sec |  54 solutions found | searching for (0,3,1)
  15,128,671 attempts |   202 sec | 74,894 attempts / sec |  56 solutions found | searching for (0,3,1)
  15,206,492 attempts |   203 sec | 74,908 attempts / sec |  56 solutions found | searching for (0,3,2)
  15,284,214 attempts |   204 sec | 74,922 attempts / sec |  56 solutions found | searching for (0,3,2)
  15,361,150 attempts |   205 sec | 74,932 attempts / sec |  56 solutions found | searching for (0,3,2)
  15,439,379 attempts |   206 sec | 74,948 attempts / sec |  56 solutions found | searching for (0,3,2)
  15,516,662 attempts |   207 sec | 74,959 attempts / sec |  56 solutions found | searching for (0,3,2)
  15,595,048 attempts |   208 sec | 74,976 attempts / sec |  56 solutions found | searching for (0,3,2)
  15,672,342 attempts |   209 sec | 74,987 attempts / sec |  58 solutions found | searching for (0,3,2)
  15,750,420 attempts |   210 sec | 75,001 attempts / sec |  58 solutions found | searching for (0,3,2)
  15,826,856 attempts |   211 sec | 75,008 attempts / sec |  58 solutions found | searching for (0,3,2)
  15,903,206 attempts |   212 sec | 75,014 attempts / sec |  60 solutions found | searching for (0,3,2)
  15,979,864 attempts |   213 sec | 75,022 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,056,656 attempts |   214 sec | 75,030 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,132,837 attempts |   215 sec | 75,036 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,209,617 attempts |   216 sec | 75,044 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,286,600 attempts |   217 sec | 75,053 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,363,651 attempts |   218 sec | 75,062 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,438,976 attempts |   219 sec | 75,063 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,513,557 attempts |   220 sec | 75,061 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,588,270 attempts |   221 sec | 75,059 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,663,576 attempts |   222 sec | 75,060 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,739,575 attempts |   223 sec | 75,065 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,817,045 attempts |   224 sec | 75,075 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,894,569 attempts |   225 sec | 75,086 attempts / sec |  62 solutions found | searching for (0,3,2)
  16,973,305 attempts |   226 sec | 75,102 attempts / sec |  62 solutions found | searching for (0,3,2)
  17,051,521 attempts |   227 sec | 75,116 attempts / sec |  62 solutions found | searching for (0,3,2)
  17,129,881 attempts |   228 sec | 75,130 attempts / sec |  64 solutions found | searching for (0,3,2)
  17,206,735 attempts |   229 sec | 75,138 attempts / sec |  64 solutions found | searching for (0,3,3)
  17,283,719 attempts |   230 sec | 75,146 attempts / sec |  64 solutions found | searching for (0,3,3)
  17,360,367 attempts |   231 sec | 75,152 attempts / sec |  64 solutions found | searching for (0,3,3)
  17,437,708 attempts |   232 sec | 75,162 attempts / sec |  64 solutions found | searching for (0,3,3)
  17,515,105 attempts |   233 sec | 75,171 attempts / sec |  64 solutions found | searching for (1,0,0)
  17,593,451 attempts |   234 sec | 75,185 attempts / sec |  66 solutions found | searching for (1,0,0)
  17,670,131 attempts |   235 sec | 75,191 attempts / sec |  66 solutions found | searching for (1,0,0)
  17,748,781 attempts |   236 sec | 75,206 attempts / sec |  66 solutions found | searching for (1,0,0)
  17,826,594 attempts |   237 sec | 75,217 attempts / sec |  68 solutions found | searching for (1,0,0)
  17,903,738 attempts |   238 sec | 75,225 attempts / sec |  68 solutions found | searching for (1,0,0)
  17,977,988 attempts |   239 sec | 75,221 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,053,007 attempts |   240 sec | 75,220 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,128,325 attempts |   241 sec | 75,221 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,205,472 attempts |   242 sec | 75,229 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,282,737 attempts |   243 sec | 75,237 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,360,493 attempts |   244 sec | 75,247 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,437,495 attempts |   245 sec | 75,254 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,516,165 attempts |   246 sec | 75,268 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,594,103 attempts |   247 sec | 75,279 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,672,111 attempts |   248 sec | 75,290 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,749,780 attempts |   249 sec | 75,300 attempts / sec |  68 solutions found | searching for (1,0,0)
