  19,900,000 attempts |   259 sec | 76,940 attempts / sec |  72 solutions found | searching for (1,0,3)
  20,000,000 attempts |   260 sec | 76,940 attempts / sec |  74 solutions found | searching for (1,0,3)
  20,100,000 attempts |   261 sec | 76,941 attempts / sec |  74 solutions found | searching for (1,0,3)
  20,200,000 attempts |   263 sec | 76,938 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,300,000 attempts |   264 sec | 76,940 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,400,000 attempts |   265 sec | 76,936 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,500,000 attempts |   266 sec | 76,935 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,600,000 attempts |   268 sec | 76,933 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,700,000 attempts |   269 sec | 76,925 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,800,000 attempts |   270 sec | 76,930 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,900,000 attempts |   272 sec | 76,934 attempts / sec |  76 solutions found | searching for (1,0,3)
  21,000,000 attempts |   273 sec | 76,935 attempts / sec |  76 solutions found | searching for (1,0,3)
  21,100,000 attempts |   274 sec | 76,929 attempts / sec |  76 solutions found | searching for (1,0,3)
  21,200,000 attempts |   276 sec | 76,924 attempts / sec |  76 solutions found | searching for (1,0,3)
  21,300,000 attempts |   277 sec | 76,926 attempts / sec |  76 solutions found | searching for (1,0,3)
  21,400,000 attempts |   278 sec | 76,933 attempts / sec |  78 solutions found | searching for (1,0,3)
  21,500,000 attempts |   279 sec | 76,937 attempts / sec |  78 solutions found | searching for (1,0,3)
  21,600,000 attempts |   281 sec | 76,942 attempts / sec |  80 solutions found | searching for (1,0,3)
  21,700,000 attempts |   282 sec | 76,935 attempts / sec |  80 solutions found | searching for (1,1,3)
  21,800,000 attempts |   283 sec | 76,928 attempts / sec |  80 solutions found | searching for (1,2,0)
  21,900,000 attempts |   285 sec | 76,923 attempts / sec |  80 solutions found | searching for (1,2,3)
  22,000,000 attempts |   286 sec | 76,922 attempts / sec |  80 solutions found | searching for (1,3,0)
  22,100,000 attempts |   287 sec | 76,917 attempts / sec |  82 solutions found | searching for (1,3,0)
  22,200,000 attempts |   289 sec | 76,911 attempts / sec |  84 solutions found | searching for (1,3,0)
  22,300,000 attempts |   290 sec | 76,907 attempts / sec |  84 solutions found | searching for (1,3,0)
  22,400,000 attempts |   291 sec | 76,898 attempts / sec |  84 solutions found | searching for (1,3,0)
  22,500,000 attempts |   293 sec | 76,897 attempts / sec |  84 solutions found | searching for (1,3,0)
  22,600,000 attempts |   294 sec | 76,900 attempts / sec |  84 solutions found | searching for (1,3,0)
  22,700,000 attempts |   295 sec | 76,899 attempts / sec |  84 solutions found | searching for (1,3,0)
  22,800,000 attempts |   296 sec | 76,899 attempts / sec |  84 solutions found | searching for (1,3,0)
  22,900,000 attempts |   298 sec | 76,902 attempts / sec |  84 solutions found | searching for (1,3,0)
  23,000,000 attempts |   299 sec | 76,903 attempts / sec |  86 solutions found | searching for (1,3,0)
  23,100,000 attempts |   300 sec | 76,905 attempts / sec |  86 solutions found | searching for (1,3,0)
  23,200,000 attempts |   302 sec | 76,898 attempts / sec |  88 solutions found | searching for (1,3,0)
  23,300,000 attempts |   303 sec | 76,885 attempts / sec |  88 solutions found | searching for (1,3,0)
  23,400,000 attempts |   304 sec | 76,872 attempts / sec |  88 solutions found | searching for (1,3,0)
  23,500,000 attempts |   306 sec | 76,863 attempts / sec |  88 solutions found | searching for (1,3,0)
  23,600,000 attempts |   307 sec | 76,861 attempts / sec |  88 solutions found | searching for (1,3,0)
  23,700,000 attempts |   308 sec | 76,859 attempts / sec |  88 solutions found | searching for (1,3,0)
  23,800,000 attempts |   310 sec | 76,862 attempts / sec |  88 solutions found | searching for (1,3,0)
  23,900,000 attempts |   311 sec | 76,863 attempts / sec |  88 solutions found | searching for (1,3,0)
  24,000,000 attempts |   312 sec | 76,859 attempts / sec |  88 solutions found | searching for (1,3,1)
  24,100,000 attempts |   314 sec | 76,855 attempts / sec |  88 solutions found | searching for (1,3,2)
